DeviceName,DeviceType,Timestamp,UOM1,UOM1Value,UOM2,UOM2Value
ELEC1,ELECTRIC,20240313 10:43:45,kWH,34.5703435,kVA,5.4220617
GPS1,GPS,20240313 10:43:45,Latitude,50.1037331,Longitude,-110.4655891
GAS1,GAS,20240313 10:43:45,CF,55.21880,PSI,0.5619669
H2O1,H2O,20240313 10:43:45,CM,86.2969073,TEMPCelsius,9.8855458
ELEC2,ELECTRIC,20240313 10:43:45,kWH,10.580266,kVA,9.2075977
GPS2,GPS,20240313 10:43:45,Latitude,51.773575,Longitude,-111.8655053
GAS2,GAS,20240313 10:43:45,CF,46.1910537,PSI,1.5786848
H2O2,H2O,20240313 10:43:45,CM,61.2525915,TEMPCelsius,24.7067155
ELEC3,ELECTRIC,20240313 10:43:45,kWH,16.286750,kVA,5.8324071
GPS3,GPS,20240313 10:43:45,Latitude,49.966547,Longitude,-110.9844139
GAS3,GAS,20240313 10:43:45,CF,69.6079871,PSI,0.6452628
H2O3,H2O,20240313 10:43:45,CM,67.8693231,TEMPCelsius,25.9519235
ELEC4,ELECTRIC,20240313 10:43:45,kWH,75.2934614,kVA,7.9682888
GPS4,GPS,20240313 10:43:45,Latitude,49.3612372,Longitude,-111.6027176
GAS4,GAS,20240313 10:43:45,CF,94.1243350,PSI,1.5662425
H2O4,H2O,20240313 10:43:45,CM,29.4894996,TEMPCelsius,23.8530916
ELEC5,ELECTRIC,20240313 10:43:45,kWH,53.5975422,kVA,5.886313
GPS5,GPS,20240313 10:43:45,Latitude,50.4482579,Longitude,-111.5273264
GAS5,GAS,20240313 10:43:45,CF,63.3000288,PSI,1.3592322
H2O5,H2O,20240313 10:43:45,CM,78.9469426,TEMPCelsius,2.7511018
ELEC6,ELECTRIC,20240313 10:43:45,kWH,17.9932398,kVA,7.8118140
GPS6,GPS,20240313 10:43:45,Latitude,49.5200883,Longitude,-111.2392344
GAS6,GAS,20240313 10:43:45,CF,44.4696432,PSI,0.457568
H2O6,H2O,20240313 10:43:45,CM,91.9449566,TEMPCelsius,9.1340290
ELEC7,ELECTRIC,20240313 10:43:45,kWH,37.4548552,kVA,9.4291533
GPS7,GPS,20240313 10:43:45,Latitude,50.125515,Longitude,-111.9979107
GAS7,GAS,20240313 10:43:45,CF,46.7571079,PSI,0.2624472
H2O7,H2O,20240313 10:43:45,CM,15.6060974,TEMPCelsius,20.2258326
ELEC8,ELECTRIC,20240313 10:43:45,kWH,75.9788240,kVA,8.3711442
GPS8,GPS,20240313 10:43:45,Latitude,49.3827678,Longitude,-110.4873243
GAS8,GAS,20240313 10:43:45,CF,0.1425966,PSI,1.5717030
H2O8,H2O,20240313 10:43:45,CM,9.3729399,TEMPCelsius,22.994263
ELEC9,ELECTRIC,20240313 10:43:45,kWH,73.1337785,kVA,8.863711
GPS9,GPS,20240313 10:43:45,Latitude,49.2743204,Longitude,-110.3016864
GAS9,GAS,20240313 10:43:45,CF,75.5455408,PSI,0.1334081
H2O9,H2O,20240313 10:43:45,CM,95.3830451,TEMPCelsius,2.7370457
ELEC10,ELECTRIC,20240313 10:43:45,kWH,99.5016193,kVA,7.9417239
GPS10,GPS,20240313 10:43:45,Latitude,50.8758881,Longitude,-110.7342585
GAS10,GAS,20240313 10:43:45,CF,26.5824526,PSI,0.6521263
H2O10,H2O,20240313 10:43:45,CM,56.7546565,TEMPCelsius,-2.5290427
ELEC11,ELECTRIC,20240313 10:43:45,kWH,9.9496025,kVA,1.8946349
GPS11,GPS,20240313 10:43:45,Latitude,49.9658891,Longitude,-111.1274716
